Year,State,Number_of_visitors
2013,ACT,35.61
2013,NT,42.39
2013,TAS,20.82
2013,WA,365.31
2013,SA,103.88
2013,QLD,839.1
2013,VIC,760.47
2013,NSW,1297.19
2014,ACT,69.44
2014,NT,91.94
2014,TAS,46.36
2014,WA,735.71
2014,SA,217.72
2014,QLD,1559.83
2014,VIC,1583.57
2014,NSW,2617.6
2015,ACT,73.53
2015,NT,89.05
2015,TAS,52.58
2015,WA,763.84
2015,SA,210.73
2015,QLD,1664.22
2015,VIC,1810.82
2015,NSW,2784.93
2016,ACT,78.25
2016,NT,83.53
2016,TAS,60.52
2016,WA,844.15
2016,SA,217.19
2016,QLD,1826.18
2016,VIC,2040.12
2016,NSW,3119.29
2017,ACT,93.53
2017,NT,88.37
2017,TAS,76.27
2017,WA,853.76
2017,SA,247.21
2017,QLD,1888.15
2017,VIC,2184.55
2017,NSW,3383.06
2018,ACT,109.76
2018,NT,72.32
2018,TAS,88.58
2018,WA,849.09
2018,SA,260.23
2018,QLD,2013.01
2018,VIC,2378.94
2018,NSW,3473.13
2019,ACT,109.19
2019,NT,76.87
2019,TAS,95.06
2019,WA,884.07
2019,SA,276.13
2019,QLD,2031.68
2019,VIC,2509.73
2019,NSW,3482.84
2020,ACT,21.6
2020,NT,10.89
2020,TAS,24.63
2020,WA,188.13
2020,SA,59.11
2020,QLD,350.26
2020,VIC,503.61
2020,NSW,669.31
2021,ACT,3.89
2021,NT,3.41
2021,TAS,4.1
2021,WA,15.07
2021,SA,6.21
2021,QLD,47.23
2021,VIC,55.46
2021,NSW,110.82
2022,ACT,53.57
2022,NT,27.98
2022,TAS,41.85
2022,WA,381.94
2022,SA,127.49
2022,QLD,775.9
2022,VIC,974.02
2022,NSW,1311.31
2023,ACT,54.18
2023,NT,27.37
2023,TAS,40.17
2023,WA,369.31
2023,SA,127.85
2023,QLD,772.46
2023,VIC,992.42
2023,NSW,1466.74
Jun-14,NSW,166.08
Jun-14,VIC,101
Jun-14,QLD,114.4
Jun-14,SA,13.3
Jun-14,WA,49.33
Jun-14,TAS,1.5
Jun-14,NT,8.07
Jun-14,ACT,4.22
Jul-14,NSW,201.34
Jul-14,VIC,134.7
Jul-14,QLD,158.6
Jul-14,SA,17.5
Jul-14,WA,56.76
Jul-14,TAS,2.21
Jul-14,NT,12.14
Jul-14,ACT,6.39
Aug-14,NSW,194.12
Aug-14,VIC,116.81
Aug-14,QLD,147.5
Aug-14,SA,14.32
Aug-14,WA,50.66
Aug-14,TAS,2.14
Aug-14,NT,10.35
Aug-14,ACT,5
Sep-14,NSW,188.28
Sep-14,VIC,110.73
Sep-14,QLD,132.02
Sep-14,SA,15.18
Sep-14,WA,60
Sep-14,TAS,1.93
Sep-14,NT,8.58
Sep-14,ACT,5.03
Oct-14,NSW,210.56
Oct-14,VIC,132.11
Oct-14,QLD,145.29
Oct-14,SA,17.47
Oct-14,WA,62.42
Oct-14,TAS,3.8
Oct-14,NT,8.49
Oct-14,ACT,6.52
Nov-14,NSW,233.18
Nov-14,VIC,145.42
Nov-14,QLD,127.14
Nov-14,SA,17.98
Nov-14,WA,67.35
Nov-14,TAS,6.02
Nov-14,NT,7.68
Nov-14,ACT,6.39
Dec-14,NSW,314.94
Dec-14,VIC,195.61
Dec-14,QLD,162.02
Dec-14,SA,27.97
Dec-14,WA,88.74
Dec-14,TAS,9.01
Dec-14,NT,4.48
Dec-14,ACT,9.04
Jan-15,NSW,214.35
Jan-15,VIC,137.52
Jan-15,QLD,106.81
Jan-15,SA,18.48
Jan-15,WA,55.37
Jan-15,TAS,4.96
Jan-15,NT,3.96
Jan-15,ACT,5.98
Feb-15,NSW,281.79
Feb-15,VIC,189.01
Feb-15,QLD,136.82
Feb-15,SA,25.26
Feb-15,WA,71.6
Feb-15,TAS,7.06
Feb-15,NT,5.25
Feb-15,ACT,9.27
Mar-15,NSW,265.09
Mar-15,VIC,172.42
Mar-15,QLD,133.5
Mar-15,SA,21.43
Mar-15,WA,69.95
Mar-15,TAS,4.78
Mar-15,NT,5.54
Mar-15,ACT,6.52
Apr-15,NSW,206.13
Apr-15,VIC,129.15
Apr-15,QLD,118.72
Apr-15,SA,17.51
Apr-15,WA,59.8
Apr-15,TAS,2.95
Apr-15,NT,11.09
Apr-15,ACT,4.8
May-15,NSW,185.95
May-15,VIC,114.57
May-15,QLD,111.29
May-15,SA,12.42
May-15,WA,49.06
May-15,TAS,2.4
May-15,NT,5.69
May-15,ACT,4.26
Jun-15,NSW,171.9
Jun-15,VIC,113.94
Jun-15,QLD,120.41
Jun-15,SA,10.27
Jun-15,WA,50.79
Jun-15,TAS,2.31
Jun-15,NT,13.62
Jun-15,ACT,4.91
Jul-15,NSW,214.22
Jul-15,VIC,140.42
Jul-15,QLD,174.46
Jul-15,SA,16.93
Jul-15,WA,58.88
Jul-15,TAS,3.32
Jul-15,NT,12.13
Jul-15,ACT,7.9
Aug-15,NSW,213.4
Aug-15,VIC,129.56
Aug-15,QLD,146.49
Aug-15,SA,13.73
Aug-15,WA,55.36
Aug-15,TAS,2.64
Aug-15,NT,8.21
Aug-15,ACT,4.74
Sep-15,NSW,204.23
Sep-15,VIC,130.3
Sep-15,QLD,146.07
Sep-15,SA,13.79
Sep-15,WA,62.75
Sep-15,TAS,2.91
Sep-15,NT,6.98
Sep-15,ACT,4.98
Oct-15,NSW,226.46
Oct-15,VIC,152.62
Oct-15,QLD,151.54
Oct-15,SA,15.97
Oct-15,WA,62.47
Oct-15,TAS,3.95
Oct-15,NT,6.69
Oct-15,ACT,6.1
Nov-15,NSW,251.08
Nov-15,VIC,169.38
Nov-15,QLD,141.97
Nov-15,SA,17.85
Nov-15,WA,73.05
Nov-15,TAS,6.06
Nov-15,NT,5.83
Nov-15,ACT,6.32
Dec-15,NSW,350.33
Dec-15,VIC,231.93
Dec-15,QLD,176.14
Dec-15,SA,27.09
Dec-15,WA,94.76
Dec-15,TAS,9.24
Dec-15,NT,4.06
Dec-15,ACT,7.75
Jan-16,NSW,245.02
Jan-16,VIC,162.4
Jan-16,QLD,123.61
Jan-16,SA,16.53
Jan-16,WA,55.79
Jan-16,TAS,5.55
Jan-16,NT,3.59
Jan-16,ACT,5.18
Feb-16,NSW,316.29
Feb-16,VIC,209.12
Feb-16,QLD,148.24
Feb-16,SA,22.59
Feb-16,WA,81.07
Feb-16,TAS,7.61
Feb-16,NT,4.7
Feb-16,ACT,8.98
Mar-16,NSW,298.66
Mar-16,VIC,187.65
Mar-16,QLD,153.12
Mar-16,SA,21.54
Mar-16,WA,78.12
Mar-16,TAS,5.4
Mar-16,NT,5.27
Mar-16,ACT,7.59
Apr-16,NSW,235.32
Apr-16,VIC,146.96
Apr-16,QLD,131.91
Apr-16,SA,15.61
Apr-16,WA,63.2
Apr-16,TAS,3.5
Apr-16,NT,8.27
Apr-16,ACT,5.72
May-16,NSW,204.52
May-16,VIC,132.47
May-16,QLD,122.98
May-16,SA,12.29
May-16,WA,56.6
May-16,TAS,2.83
May-16,NT,5.53
May-16,ACT,4.05
Jun-16,NSW,199.94
Jun-16,VIC,134.94
Jun-16,QLD,136.35
Jun-16,SA,12.42
Jun-16,WA,57.63
Jun-16,TAS,3.16
Jun-16,NT,6.12
