StateorTerritory,Years,number_of_visitors
NSW,2019,268050
NSW,2021,6160
NSW,2022,107570
NSW,2023,233530
VIC,2019,201930
VIC,2021,3280
VIC,2022,81840
VIC,2023,153260
QLD,2019,206910
QLD,2021,5800
QLD,2022,81880
QLD,2023,152860
SA,2019,21950
SA,2021,640
SA,2022,10840
SA,2023,18490
WA,2019,65260
WA,2021,1950
WA,2022,32050
WA,2023,46450
TAS,2019,5670
TAS,2021,360
TAS,2022,2660
TAS,2023,4150
NT,2019,9460
NT,2021,340
NT,2022,3210
NT,2023,5520
ACT,2019,11130
ACT,2021,200
ACT,2022,5600
ACT,2023,10780
